"Rk","Player","Pos","From","To","Wins"
311,"Don Chaney","G",1969,1980,452
312,"J.J. Barea","G",2007,2020,451
313,"Jerry Lucas","F",1964,1974,451
314,"John Salley","F",1987,2000,451
315,"Kendall Gill","G",1991,2005,450
316,"Marcin Gortat","C",2008,2019,449
317,"Latrell Sprewell","G",1993,2005,449
318,"Gerald Wilkins","G",1986,1999,449
319,"Bill Sharman","G",1951,1961,448
320,"Jeff Teague","G",2010,2021,448
321,"Rickey Green","G",1978,1992,447
322,"Andrei Kirilenko","F",2002,2015,447
323,"C.J. Miles","G",2006,2020,447
324,"Junior Bridgeman","F",1976,1987,446
325,"Dave Corzine","C",1979,1991,446
326,"Kirk Hinrich","G",2004,2016,446
327,"Elton Brand","F",2000,2016,445
328,"DeMar DeRozan","G",2010,2021,445
329,"Vernon Maxwell","G",1989,2001,445
330,"Bob McAdoo","C",1973,1986,445
331,"Jacque Vaughn","G",1998,2009,445
332,"Nicolas Batum","F",2009,2021,444
333,"Darrell Armstrong","G",1995,2008,443
334,"Artis Gilmore","C",1977,1988,443
335,"Gar Heard","F",1971,1981,443
336,"Lou Hudson","F",1967,1979,443
337,"Clifford Ray","C",1972,1981,443
338,"Thaddeus Young","F",2008,2021,443
339,"World B. Free","G",1976,1988,442
340,"Anthony Peeler","G",1993,2005,442
341,"Walt Bellamy","C",1962,1974,440
342,"Robert Reid","F",1978,1991,440
343,"Truck Robinson","F",1975,1984,440
344,"Channing Frye","C",2006,2019,439
345,"Mike Gminski","C",1981,1994,439
346,"Jeff Green","F",2008,2021,439
347,"Frank Ramsey","F",1955,1964,439
348,"Bill Wennington","C",1986,2000,439
349,"Rick Barry","F",1966,1980,438
350,"Bill Bradley","F",1968,1977,438
351,"Jameer Nelson","G",2005,2018,438
352,"Marco Belinelli","G",2008,2020,437
353,"Quinn Buckner","G",1977,1986,437
354,"Wesley Matthews","G",2010,2021,437
355,"Carl Braun","G",1948,1962,436
356,"Tyrone Hill","F",1991,2003,436
357,"Anthony Johnson","G",1998,2010,436
358,"Happy Hairston","F",1965,1975,435
359,"Mickey Johnson","F",1975,1986,435
360,"Bob Weiss","G",1966,1977,435
361,"David Wingate","G",1987,2001,435
362,"Rudy Gay","F",2007,2021,434
363,"Kenyon Martin","F",2001,2015,434
364,"Doug Christie","G",1993,2007,433
365,"Xavier McDaniel","F",1986,1998,433
366,"Jon Barry","G",1993,2006,432
367,"Joe Graboski","F",1949,1962,432
368,"Jeff Mullins","G",1965,1976,432
369,"Bo Outlaw","F",1994,2008,432
370,"Mitch Richmond","G",1989,2002,432
371,"Klay Thompson","G",2012,2019,432
372,"Jared Dudley","F",2008,2021,431
373,"Harvey Catchings","C",1975,1985,430
374,"George Gervin","G",1977,1986,430
375,"Bobby Jackson","G",1998,2009,430
376,"Phil Jackson","F",1968,1980,430
377,"Jim Paxson","G",1980,1990,430
378,"Mookie Blaylock","G",1990,2002,429
379,"Tom Hawkins","F",1960,1969,429
380,"Mark Olberding","F",1977,1987,429
381,"Terrell Brandon","G",1992,2002,428
382,"Robin Lopez","C",2009,2021,428
383,"Larry Smith","F",1981,1993,428
384,"Dave Bing","G",1967,1978,427
385,"Aaron McKie","G",1995,2007,427
386,"LaSalle Thompson","C",1983,1997,427
387,"Greg Anthony","G",1992,2002,426
388,"Bob Pettit","F",1955,1965,426
389,"Jud Buechler","F",1991,2002,425
390,"Wayne Embry","C",1959,1969,425
391,"Kenny Anderson","G",1992,2005,424
392,"Brad Miller","C",1999,2012,424
393,"Kiki Vandeweghe","F",1981,1993,424
394,"Caron Butler","F",2003,2016,423
395,"Guy Rodgers","G",1959,1970,423
396,"Rasual Butler","F",2003,2016,422
397,"Fred Roberts","F",1984,1997,422
398,"Damon Stoudamire","G",1996,2008,422
399,"Nick Anderson","F",1990,2002,420
400,"Josh Smith","F",2005,2018,420
401,"Bob Boozer","F",1961,1971,419
402,"D.J. Augustin","G",2009,2021,418
403,"Monta Ellis","G",2006,2017,418
404,"Draymond Green","F",2013,2021,417
405,"Johnny Green","F",1960,1973,417
406,"Clemon Johnson","C",1979,1988,416
407,"Rodney Rogers","F",1994,2005,416
408,"Shandon Anderson","F",1997,2006,415
409,"Baron Davis","G",2000,2012,415
410,"Marreese Speights","C",2009,2018,415
411,"Corliss Williamson","F",1996,2007,415
412,"Anfernee Hardaway","G",1994,2008,414
413,"Grant Long","F",1989,2003,414
414,"Beno Udrih","G",2005,2017,414
415,"Kawhi Leonard","F",2012,2021,413
416,"Theo Ratliff","C",1996,2011,413
417,"Lionel Hollins","G",1976,1985,412
418,"Norm Nixon","G",1978,1989,412
419,"Mo Williams","G",2004,2016,412
420,"Austin Croshere","F",1998,2009,411
421,"Jack Marin","F",1967,1977,410
422,"DeShawn Stevenson","G",2001,2013,410
423,"Jason Williams","G",1999,2011,410
424,"Lucius Allen","G",1970,1979,409
425,"Patrick Patterson","F",2011,2021,409
426,"Antoine Walker","F",1997,2008,409
427,"Raja Bell","G",2001,2012,408
428,"Matt Guokas","G",1967,1976,408
429,"Cliff Hagan","F",1957,1966,408
430,"Bill Hanzlik","G",1981,1990,408
431,"Craig Hodges","G",1983,1992,408
432,"John Johnson","F",1971,1982,408
433,"Mark Price","G",1987,1998,408
434,"John Salmons","G",2003,2015,408
435,"Paul George","F",2011,2021,407
436,"Allan Houston","G",1994,2005,407
437,"Clyde Lovellette","C",1954,1964,407
438,"Andy Phillip","G",1948,1958,407
439,"Reggie Theus","G",1979,1991,407
440,"Dick Van Arsdale","G",1966,1977,407
441,"Randy Smith","G",1972,1983,406
442,"Spud Webb","G",1986,1998,406
443,"Mike Riordan","G",1969,1977,405
444,"Shawn Bradley","C",1994,2005,404
445,"Courtney Lee","G",2009,2020,404
446,"Devean George","G",2000,2010,403
447,"Andrew Lang","C",1989,2000,403
448,"Jason Richardson","G",2002,2015,403
449,"Armen Gilliam","F",1988,2000,402
450,"Reggie Evans","F",2003,2015,401
451,"Vern Fleming","G",1985,1996,401
452,"John Long","G",1979,1997,401
453,"Greg Ballard","F",1978,1989,400
454,"Vinny Del Negro","G",1989,2002,400
455,"Brendan Haywood","C",2002,2015,400
456,"Gerald Wallace","F",2002,2015,399
457,"Jason Collins","C",2002,2014,398
458,"Archie Clark","G",1967,1976,397
459,"Rich Kelley","C",1976,1986,397
460,"Bob Love","F",1967,1977,397
461,"Luis Scola","F",2008,2017,397
462,"Henry Bibby","G",1973,1981,396
463,"Billy Cunningham","F",1966,1976,396
464,"David Lee","F",2006,2017,396
465,"Jerry Sloan","G",1966,1976,396
466,"Earl Watson","G",2002,2014,396
467,"Keith Erickson","F",1966,1977,395
468,"Jay Humphries","G",1985,1995,395
469,"Ersan Ä°lyasova","F",2007,2020,395
470,"Larry Johnson","F",1992,2001,395
